subway_name,subway_station
1号线,苹果园
1号线,古城
1号线,八角游乐园
1号线,八宝山
1号线,玉泉路
1号线,五棵松
1号线,万寿路
1号线,公主坟
1号线,军事博物馆
1号线,木樨地
1号线,南礼士路
1号线,复兴门
1号线,西单
1号线,天安门西
1号线,天安门东
1号线,王府井
1号线,东单
1号线,建国门
1号线,永安里
1号线,国贸
1号线,大望路
1号线,四惠
1号线,四惠东
2号线,车公庄
2号线,阜成门
2号线,复兴门
2号线,长椿街
2号线,宣武门
2号线,和平门
2号线,前门
2号线,崇文门
2号线,北京站
2号线,建国门
2号线,朝阳门
2号线,东四十条
2号线,东直门
2号线,雍和宫
2号线,安定门
2号线,鼓楼大街
2号线,积水潭
2号线,西直门
4号线,安河桥北
4号线,北宫门
4号线,西苑
4号线,圆明园
4号线,北京大学东门
4号线,中关村
4号线,海淀黄庄
4号线,人民大学
4号线,魏公村
4号线,国家图书馆
4号线,动物园
4号线,西直门
4号线,新街口
4号线,平安里
4号线,西四
4号线,灵境胡同
4号线,西单
4号线,宣武门
4号线,菜市口
4号线,陶然亭
4号线,北京南站
4号线,马家堡
4号线,角门西
4号线,公益西桥
4号线,新宫
4号线,西红门
4号线,高米店北
4号线,高米店南
4号线,枣园
4号线,清源路
4号线,黄村西大街
4号线,黄村火车站
4号线,义和庄
4号线,生物医药基地
4号线,天宫院
5号线,宋家庄
5号线,刘家窑
5号线,蒲黄榆
5号线,天坛东门
5号线,磁器口
5号线,崇文门
5号线,东单
5号线,灯市口
5号线,东四
5号线,张自忠路
5号线,北新桥
5号线,雍和宫
5号线,和平里北街
5号线,和平西桥
5号线,惠新西街南口
5号线,惠新西街北口
5号线,大屯路东
5号线,北苑路北
5号线,立水桥南
5号线,立水桥
5号线,天通苑南
5号线,天通苑
5号线,天通苑北
6号线,金安桥
6号线,苹果园
6号线,杨庄
6号线,西黄村
6号线,廖公庄
6号线,田村
6号线,海淀五路居
6号线,慈寿寺
6号线,花园桥
6号线,白石桥南
6号线,车公庄西
6号线,车公庄
6号线,平安里
6号线,北海北
6号线,南锣鼓巷
6号线,东四
6号线,朝阳门
6号线,东大桥
6号线,呼家楼
6号线,金台路
6号线,十里堡
6号线,青年路
6号线,褡裢坡
6号线,黄渠
6号线,常营
6号线,草房
6号线,物资学院路
6号线,通州北关
6号线,北运河西
6号线,北运河东
6号线,郝家府
6号线,东夏园
6号线,潞城
7号线,北京西站
7号线,湾子
7号线,达官营
7号线,广安门内
7号线,菜市口
7号线,虎坊桥
7号线,珠市口
7号线,桥湾
7号线,磁器口
7号线,广渠门内
7号线,广渠门外
7号线,九龙山
7号线,大郊亭
7号线,百子湾
7号线,化工
7号线,南楼梓庄
7号线,欢乐谷景区
7号线,双合
7号线,焦化厂
8号线,朱辛庄
8号线,育知路
8号线,平西府
8号线,回龙观东大街
8号线,霍营
8号线,育新
8号线,西小口
8号线,永泰庄
8号线,林萃桥
8号线,森林公园南门
8号线,奥林匹克公园
8号线,奥体中心
8号线,北土城
8号线,安华桥
8号线,安德里北街
8号线,鼓楼大街
8号线,什刹海
8号线,南锣鼓巷
8号线,中国美术馆
9号线,郭公庄
9号线,丰台科技园
9号线,科怡路
9号线,丰台南路
9号线,丰台东大街
9号线,七里庄
9号线,六里桥
9号线,六里桥东
9号线,北京西站
9号线,军事博物馆
9号线,白堆子
9号线,白石桥南
9号线,国家图书馆
10号线,苏州街
10号线,海淀黄庄
10号线,知春里
10号线,知春路
10号线,西土城
10号线,牡丹园
10号线,健德门
10号线,北土城
10号线,安贞门
10号线,惠新西街南口
10号线,芍药居
10号线,太阳宫
10号线,三元桥
10号线,亮马桥
10号线,农业展览馆
10号线,团结湖
10号线,呼家楼
10号线,金台夕照
10号线,国贸
10号线,双井
10号线,劲松
10号线,潘家园
10号线,十里河
10号线,分钟寺
10号线,成寿寺
10号线,宋家庄
10号线,石榴庄
10号线,大红门
10号线,角门东
10号线,角门西
10号线,草桥
10号线,纪家庙
10号线,首经贸
10号线,丰台
10号线,泥洼
10号线,西局
10号线,六里桥
10号线,莲花桥
10号线,公主坟
10号线,西钓鱼台
10号线,慈寿寺
10号线,车道沟
10号线,长春桥
10号线,火器营
10号线,巴沟
13号线,西直门
13号线,大钟寺
13号线,知春路
13号线,五道口
13号线,上地
13号线,西二旗
13号线,龙泽
13号线,回龙观
13号线,霍营
13号线,立水桥
13号线,北苑
13号线,望京西
13号线,芍药居
13号线,光熙门
13号线,柳芳
13号线,东直门
14号线(东),北京南站
14号线(东),永定门外
14号线(东),景泰
14号线(东),蒲黄榆
14号线(东),方庄
14号线(东),十里河
14号线(东),北工大西门
14号线(东),九龙山
14号线(东),大望路
14号线(东),金台路
14号线(东),朝阳公园
14号线(东),枣营
14号线(东),东风北桥
14号线(东),将台
14号线(东),望京南
14号线(东),阜通
14号线(东),望京
14号线(东),东湖渠
14号线(东),来广营
14号线(东),善各庄
14号线(西),张郭庄
14号线(西),园博园
14号线(西),大瓦窑
14号线(西),郭庄子
14号线(西),大井
14号线(西),七里庄
14号线(西),西局
15号线,俸伯
15号线,顺义
15号线,石门
15号线,南法信
15号线,后沙峪
15号线,花梨坎
15号线,国展
15号线,孙河
15号线,马泉营
15号线,崔各庄
15号线,望京东
15号线,望京
15号线,望京西
15号线,关庄
15号线,大屯路东
15号线,安立路
15号线,奥林匹克公园
15号线,北沙滩
15号线,六道口
15号线,清华东路西口
16号线,西苑
16号线,马连洼
16号线,西北旺
16号线,永丰南
16号线,永丰
16号线,屯佃
16号线,稻香湖路
16号线,温阳路
16号线,北安河
S1线,金安桥
S1线,四道桥
S1线,桥户营
S1线,上岸
S1线,栗园庄
S1线,小园
S1线,石厂
八通线,四惠
八通线,四惠东
八通线,高碑店
八通线,传媒大学
八通线,双桥
八通线,管庄
八通线,八里桥
八通线,通州北苑
八通线,果园
八通线,九棵树
八通线,梨园
八通线,临河里
八通线,土桥
昌平线,昌平西山口
昌平线,十三陵景区
昌平线,昌平
昌平线,昌平东关
昌平线,北邵洼
昌平线,南邵
昌平线,沙河高教园
昌平线,沙河
昌平线,巩华城
昌平线,朱辛庄
昌平线,生命科学园
昌平线,西二旗
房山线,苏庄
房山线,良乡南关
房山线,良乡大学城西
房山线,良乡大学城
房山线,良乡大学城北
房山线,广阳城
房山线,篱笆房
房山线,长阳
房山线,稻田
房山线,大葆台
房山线,郭公庄
机场线,东直门
机场线,三元桥
机场线,T3航站楼
机场线,T2航站楼
西郊线,巴沟
西郊线,颐和园西门
西郊线,茶棚
西郊线,万安
西郊线,植物园
西郊线,香山
亦庄线,宋家庄
亦庄线,肖村
亦庄线,小红门
亦庄线,旧宫
亦庄线,亦庄桥
亦庄线,亦庄文化园
亦庄线,万源街
亦庄线,荣京东街
亦庄线,荣昌东街
亦庄线,同济南路
亦庄线,经海路
亦庄线,次渠南
亦庄线,次渠
燕房线,阎村东
燕房线,紫草坞
燕房线,阎村
燕房线,星城
燕房线,大石河东
燕房线,马各庄
燕房线,饶乐府
燕房线,房山城关
燕房线,燕山
8号线南段,珠市口
8号线南段,天桥
8号线南段,永定门外
8号线南段,木樨园
8号线南段,海户屯
8号线南段,大红门
8号线南段,大红门南
8号线南段,和义
8号线南段,东高地
8号线南段,火箭万源
8号线南段,五福堂
8号线南段,德茂
8号线南段,瀛海
大兴机场线,草桥
大兴机场线,大兴新城
大兴机场线,大兴机场
